time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.17853e-06	7502.41
1	1.17853e-06	2.91216e-06	7502.41
2	2.91216e-06	5.46238e-06	10794.3
3	5.46238e-06	9.2138e-06	4639.45
4	9.2138e-06	1.47322e-05	5155.44
5	1.47322e-05	2.28499e-05	5472.74
6	2.28499e-05	3.47912e-05	6206.58
7	3.47912e-05	5.23572e-05	6531.42
8	5.23572e-05	7.8197e-05	5812.64
9	7.8197e-05	0.000116208	4763.53
10	0.000116208	0.000172123	3875.51
11	0.000172123	0.000254375	3151.33
12	0.000254375	0.000375369	2479.92
13	0.000375369	0.000553354	1897.3
14	0.000553354	0.000815174	1373.85
15	0.000815174	0.00120032	954.872
16	0.00120032	0.00176687	751.402
17	0.00176687	0.00260028	991.35
18	0.00260028	0.00382624	215.74
19	0.00382624	inf	215.74
