"species","pop1","pop2","fst","dist","div","guild","behavior","dist_effect","div_effect","adjusted_fst"
"CLK","THA","TAI",0.278000902985883,2980.35368872974,112771.875,"Generalist","Generalist",-0.0067583932325388,0.132741822285754,0.152017473932668
"AKA","KNY","MDG",0.030342749368365,1807.77483383827,252.21875,"RM specialist","Specialist",-0.0127688320986081,-0.127085491853547,0.17019707332052
"AKA","KNY","MYT",0.00982663059241947,1257.99609311091,238.37125,"RM specialist","Specialist",-0.0155869039896557,-0.127117468121983,0.152531002704058
"AKA","KNY","THA",0.0862935963152081,6489.3930854967,3040.5125,"RM specialist","Specialist",0.0112283431689535,-0.12064684015269,0.195712093298945
"AKA","MDG","THA",0.0905195819331703,6419.92327503552,2351.8625,"RM specialist","Specialist",0.0108722527899802,-0.12223705190631,0.2018843810495
"AKA","MYT","THA",0.0855113572932957,6328.43822534092,3041.5875,"RM specialist","Specialist",0.0104033160561692,-0.120644357792078,0.195752399029205
"AKA","KNY","IDN",0.0824355204953971,7713.45464272117,1635.1875,"RM specialist","Specialist",0.0175026735709666,-0.12389197822378,0.18882482514821
"AKA","MDG","IDN",0.132150634002753,7089.39018264465,1680.425,"RM specialist","Specialist",0.014303825774821,-0.123787517025487,0.241634325253419
"AKA","MYT","IDN",0.0807291329586981,7184.45369387876,1637.275,"RM specialist","Specialist",0.014791105091076,-0.123887157825848,0.18982518569347
"AKA","THA","IDN",0.026147056097667,2013.31379071313,1892.1125,"RM specialist","Specialist",-0.0117152745235772,-0.12329869403762,0.161161024658864
"AKA","MYT","MDG",0.0200191798865571,557.734183431727,245.36875,"RM specialist","Specialist",-0.0191763268935449,-0.127101309686281,0.166296816466383
"PRD","AUS","NCD",0.0854772461317908,1758.88524564405,4747.425,"RM specialist","Specialist",-0.01301943177453,-0.116705284471428,0.215201962377749
"PRD","IDN","NCD",0.124673019069701,5520.26967512201,18695.125,"RM specialist","Specialist",0.00626078214955169,-0.0844976369349942,0.202909873855144
"PRD","IDN","AUS",0.219620549289298,3764.94183491581,19744.375,"RM specialist","Specialist",-0.00273672844810049,-0.0820747375194918,0.304432015256891
"PRD","THA","AUS",0.181165469414059,6235.30389883929,27770.5,"RM specialist","Specialist",0.0099259254112369,-0.0635410290884701,0.234780573091292
"PRD","THA","IDN",0.0678486739675857,2656.83071451998,2538.1125,"RM specialist","Specialist",-0.00841671672195279,-0.12180696849803,0.198072359187569
"PRD","THA","NCD",0.162874090496725,7927.17862934019,20208.625,"RM specialist","Specialist",0.0185981862099909,-0.081002704111203,0.225278608397937
"MEL","AUS","NCD",0.154204847649115,2019.76341017295,9386.8875,"EQ specialist","Specialist",-0.0116822148761932,-0.105991964500501,0.271879027025809
"MEL","IDN","NCD",0.182734952049905,5429.84654638467,34488.375,"EQ specialist","Specialist",0.0057972886411302,-0.0480282957923838,0.224965959201159
"MEL","IDN","AUS",0.260266341778853,3411.21428632459,17661.875,"EQ specialist","Specialist",-0.0045498754251103,-0.0868835895879062,0.351699806791869
"POL","THA","IDN",0.393014851913152,2649.1699331518,13762.25,"SD specialist","Specialist",-0.00845598457834274,-0.0958884970295824,0.497359333521078
"SAN","IDN","PNG",0.133499769857103,2918.96118300975,28875.375,"SD specialist","Specialist",-0.00707308072747829,-0.0609896819436492,0.201562532528231
"SAN","IDN","SOI",0.225676397405012,3841.7160587022,21950,"SD specialist","Specialist",-0.00234319689443732,-0.0769815685670805,0.305001162866529
"SAN","PNG","SOI",0.0138746467071916,927.232605823311,719.89875,"SD specialist","Specialist",-0.0172823411120094,-0.126005537983028,0.157162525802229
"SAN","IDN","AUS",0.061975003576402,2507.94523092684,1091.05625,"SD specialist","Specialist",-0.00917987827262271,-0.125148471230767,0.196303353079792
"SAN","PNG","AUS",0.119140451556015,4934.74713894588,21155.75,"SD specialist","Specialist",0.00325949367013576,-0.0788156289537975,0.194696586839677
"SAN","SOI","AUS",0.288480206912826,5749.21199884032,21088.125,"SD specialist","Specialist",0.00743430138437715,-0.0789717867550587,0.360017692283508
