sample_ID,species,abbrev,SRR,country,lon,lat,category,perc_proper_reads,depth,n.sites_filtered_individual,n.sites_filtered_species,n.sites_pruned_species
AKA_79,Amphiprion_akallopisos,AKA,pending upload,THA,97.64486602,8.6487805,RM specialist,92.8245,24.4519,7674394,7675525,1025032
AKA_89,Amphiprion_akallopisos,AKA,pending upload,THA,97.64486602,8.6487805,RM specialist,92.2767,22.7279,7674090,7675525,1025032
AKA_92,Amphiprion_akallopisos,AKA,pending upload,THA,97.64486602,8.6487805,RM specialist,92.3885,29.4075,7674600,7675525,1025032
AKA_96,Amphiprion_akallopisos,AKA,pending upload,THA,97.64486602,8.6487805,RM specialist,92.7301,29.6684,7674412,7675525,1025032
AKA_98,Amphiprion_akallopisos,AKA,pending upload,THA,97.64486602,8.6487805,RM specialist,92.5682,26.4977,7674766,7675525,1025032
AKA_172,Amphiprion_akallopisos,AKA,pending upload,MDG,43.63351925,-23.37868667,RM specialist,92.0931,19.45,7674836,7675525,1025032
AKA_175,Amphiprion_akallopisos,AKA,pending upload,MDG,43.63351925,-23.37868667,RM specialist,92.7243,22.4534,7675096,7675525,1025032
AKA_179,Amphiprion_akallopisos,AKA,pending upload,MDG,43.63990989,-23.39874853,RM specialist,92.9717,19.0434,7674733,7675525,1025032
AKA_181,Amphiprion_akallopisos,AKA,pending upload,MDG,43.63990989,-23.39874853,RM specialist,92.9777,22.6414,7674727,7675525,1025032
AKA_184,Amphiprion_akallopisos,AKA,pending upload,MDG,43.63990989,-23.39874853,RM specialist,92.7363,25.7,7675026,7675525,1025032
NC016,Amphiprion_akindynos,AKY,pending upload,NCD,165.371285,-20.9205377,Generalist,91.4083,14.6255,18277120,18306936,1225349
AC503,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,92.645,13.9192,18302854,18306936,1225349
AC504,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.9134,15.3777,18297268,18306936,1225349
AC505,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.6951,15.6109,18303853,18306936,1225349
AC687,Amphiprion_akindynos,AKY,pending upload,AUS,145.4609161,-14.6683188,Generalist,91.7041,15.9465,18304231,18306936,1225349
