"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"50","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",9,21664.5,26930,32195.5,518.587,2.4103959412789
"51","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",10,32195.5,39941.125,47686.75,596.51,2.09552228797505
"52","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",11,47686.75,59080.6875,70474.625,829.213,1.50745345285228
"53","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",12,70474.625,87235.375,103996.125,1209.4,1.03357036547048
"54","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",13,103996.125,128651.8125,153307.5,1730.41,0.722372154576083
"55","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",14,153307.5,189575.625,225843.75,2150.39,0.581289905552016
"56","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",15,225843.75,279195.625,332547.5,2364.61,0.528628399609238
"57","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",16,332547.5,411029.375,489511.25,2409.44,0.518792748522478
"58","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",17,489511.25,604960,720408.75,1822.71,0.685792034936989
"59","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",18,720408.75,890235,1060061.25,1431.25,0.873362445414847
"60","CLK_IDN.11","Generalist","Amphiprion clarkii","CLK","IDN","11",19,1060061.25,1060061.25,Inf,1431.25,0.873362445414847
"63","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",2,791.16375,1137.581875,1484,685.191,1.82430884235199
"64","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",3,1484,1993.58125,2503.1625,1991.84,0.627560446622219
"65","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",4,2503.1625,3252.775,4002.3875,875.108,1.42839512380186
"66","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",5,4002.3875,5105.075,6207.7625,315.129,3.96662953901418
"67","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",6,6207.7625,7829.85,9451.9375,368.637,3.39086960885641
"68","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",7,9451.9375,11838.03125,14224.125,391.173,3.19551707300862
"69","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",8,14224.125,17734.1875,21244.25,414.907,3.01272333318069
"70","CLK_IDN.12","Generalist","Amphiprion clarkii","CLK","IDN","12",9,21244.25,26407.5625,31570.875,530.223,2.35749863736579
