time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.41528e-07	4.23471
1	7.41528e-07	1.83233e-06	4.23471
2	1.83233e-06	3.43692e-06	4.23469
3	3.43692e-06	5.79731e-06	834.22
4	5.79731e-06	9.26949e-06	15299.2
5	9.26949e-06	1.43771e-05	16404.6
6	1.43771e-05	2.18906e-05	9333.51
7	2.18906e-05	3.29431e-05	6813.9
8	3.29431e-05	4.92015e-05	6559.03
9	4.92015e-05	7.31179e-05	7064.78
10	7.31179e-05	0.000108299	6350.24
11	0.000108299	0.000160052	4591.57
12	0.000160052	0.000236182	3106.29
13	0.000236182	0.00034817	2051.31
14	0.00034817	0.000512906	1352.32
15	0.000512906	0.000755237	991.806
16	0.000755237	0.00111171	951.495
17	0.00111171	0.00163609	5168.76
18	0.00163609	0.00240747	12.139
19	0.00240747	inf	12.139
