time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.83142e-06	523.602
1	2.83142e-06	6.99649e-06	523.602
2	6.99649e-06	1.31234e-05	859.216
3	1.31234e-05	2.21362e-05	402.453
4	2.21362e-05	3.53943e-05	928.971
5	3.53943e-05	5.48971e-05	1205.72
6	5.48971e-05	8.35862e-05	1205.69
7	8.35862e-05	0.000125788	937.877
8	0.000125788	0.000187869	939.452
9	0.000187869	0.00027919	1069.7
10	0.00027919	0.000413526	1198.25
11	0.000413526	0.000611137	1180.82
12	0.000611137	0.000901826	1196.94
13	0.000901826	0.00132944	1313.74
14	0.00132944	0.00195846	967.926
15	0.00195846	0.00288377	563.736
16	0.00288377	0.00424491	595.402
17	0.00424491	0.00624718	1535.2
18	0.00624718	0.00919257	82.9834
19	0.00919257	inf	82.9834
