time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.76735e-06	1.13471
1	2.76735e-06	6.83818e-06	1.13471
2	6.83818e-06	1.28265e-05	1.13471
3	1.28265e-05	2.16353e-05	1055.17
4	2.16353e-05	3.45934e-05	626.498
5	3.45934e-05	5.36549e-05	643.542
6	5.36549e-05	8.16948e-05	848.455
7	8.16948e-05	0.000122942	1082.98
8	0.000122942	0.000183618	1159.48
9	0.000183618	0.000272873	1207.52
10	0.000272873	0.000404169	1281.9
11	0.000404169	0.000597308	1185.44
12	0.000597308	0.00088142	1124.4
13	0.00088142	0.00129935	1254.59
14	0.00129935	0.00191414	1109.77
15	0.00191414	0.00281851	599.854
16	0.00281851	0.00414886	384.918
17	0.00414886	0.00610582	2133.25
18	0.00610582	0.00898456	1.92476
19	0.00898456	inf	1.92476
