Sample_ID,Anemonefish.Species,Species_Abbreviation,Country,Country_Abbreviation,Location,Pop_ID,Coord.X,Coord.Y,Host category,Accession
AKA_89,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957640
AKA_92,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957641
AKA_96,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957642
AKA_98,Amphiprion_akallopisos,AKA,Thailand,THA,Similan,THA_Similan,97.64486602,8.6487805,RM specialist,SAMN45957643
AKA_172,Amphiprion_akallopisos,AKA,Madagascar,MDG,Toliara,MDG_Toliara,43.63351925,-23.37868667,RM specialist,SAMN45957644
AKA_175,Amphiprion_akallopisos,AKA,Madagascar,MDG,Toliara,MDG_Toliara,43.63351925,-23.37868667,RM specialist,SAMN45957645
AKA_179,Amphiprion_akallopisos,AKA,Madagascar,MDG,Toliara,MDG_Toliara,43.63990989,-23.39874853,RM specialist,SAMN45957646
AKA_181,Amphiprion_akallopisos,AKA,Madagascar,MDG,Toliara,MDG_Toliara,43.63990989,-23.39874853,RM specialist,SAMN45957647
AKA_184,Amphiprion_akallopisos,AKA,Madagascar,MDG,Toliara,MDG_Toliara,43.63990989,-23.39874853,RM specialist,SAMN45957648
NC016,Amphiprion_akindynos,AKY,New Caledonia,NCD,Touho,NCD_Touho,165.371285,-20.9205377,Generalist,SAMN45957649
AC503,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957650
AC504,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957651
AC505,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957652
AC687,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957653
AC688,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957654
AC690,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957655
AC691,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957656
AC716,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957657
AC717,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957658
AC718,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957659
AC719,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957660
AK1,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957661
AK13,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957662
AK14,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957663
AK16,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957664
AK18,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957665
AK8,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957666
AK9,Amphiprion_akindynos,AKY,Australia,AUS,Lizard,AUS_Lizard,145.4609161,-14.6683188,Generalist,SAMN45957667
AK055,Amphiprion_akindynos,AKY,New Caledonia,NCD,Noumea,NCD_Noumea,166.4750078,-22.2803087,Generalist,SAMN45957668
AK069,Amphiprion_akindynos,AKY,New Caledonia,NCD,Noumea,NCD_Noumea,166.4750078,-22.2803087,Generalist,SAMN45957669
AK038,Amphiprion_akindynos,AKY,New Caledonia,NCD,Touho,NCD_Touho,165.3267822,-20.7960485,Generalist,SAMN45957670
AK003,Amphiprion_akindynos,AKY,New Caledonia,NCD,Tibarama,NCD_Tibarama,165.3820202,-20.9371423,Generalist,SAMN45957671
